transcript,ticker,event_date,sentiment_index,close_before,close_after,close_before_date,close_after_date,price_change_pct,price_up,benchmark_return,abnormal_return,CAR
AAPL_2018_Q3_20180801,AAPL,2018-08-01,0.8958122185619178,47.5724983215332,51.84749984741211,2018-07-31,2018-08-02,0.08986287617238448,1,0.0038809680427174353,0.08598190812966704,0.08598190812966704
AAPL_2018_Q4_20181102,AAPL,2018-11-02,0.8257250912202947,55.55500030517578,50.397499084472656,2018-11-01,2018-11-05,-0.09283594982219137,0,-0.0007517446569824232,-0.09208420516520895,-0.006102297035541909
AAPL_2019_Q1_20190130,AAPL,2019-01-30,0.7416641017092995,38.66999816894531,41.61000061035156,2019-01-29,2019-01-31,0.07602799536120164,1,0.02428034002130682,0.051747655339894824,0.045645358304352915
AAPL_2019_Q2_20190501,AAPL,2019-05-01,0.8866893436733051,50.16749954223633,52.287498474121094,2019-04-30,2019-05-02,0.042258413339893997,1,-0.009610214385403095,0.051868627725297094,0.09751398602965
AAPL_2019_Q3_20190730,AAPL,2019-07-30,0.9129891506337718,52.41999816894531,53.2599983215332,2019-07-29,2019-07-31,0.016024421631619285,1,-0.013436111012112357,0.029460532643731642,0.12697451867338164
AAPL_2019_Q4_20191031,AAPL,2019-10-31,0.9577741220900555,60.814998626708984,63.95500183105469,2019-10-30,2019-11-01,0.05163205254051693,1,0.006610243782438016,0.04502180875807891,0.17199632743146054
AAPL_2020_Q1_20200129,AAPL,2020-01-29,0.8493090319685893,79.42250061035156,80.96749877929688,2020-01-28,2020-01-30,0.01945290260407571,1,0.0022647675069948693,0.01718813509708084,0.18918446252854138
AAPL_2020_Q2_20200501,AAPL,2020-05-01,0.7229295217582388,73.44999694824219,73.29000091552734,2020-04-30,2020-05-04,-0.0021782986979235375,0,-0.02392845254374665,0.021750153845823114,0.2109346163743645
AAPL_2020_Q3_20200731,AAPL,2020-07-31,0.7742822154987222,96.19000244140625,108.9375,2020-07-30,2020-08-03,0.13252414216704939,1,0.014906610505593307,0.11761753166145608,0.32855214803582056
AAPL_2020_Q4_20201030,AAPL,2020-10-30,0.8371142080974816,115.31999969482422,108.7699966430664,2020-10-29,2020-11-02,-0.05679850042569666,0,3.923821513030001e-05,-0.05683773864082696,0.2717144093949936
AAPL_2021_Q1_20210128,AAPL,2021-01-28,0.812317287985035,142.05999755859375,131.9600067138672,2021-01-27,2021-01-29,-0.07109665647122614,0,-0.009739341283697345,-0.061357315187528794,0.2103570942074648
AAPL_2021_Q2_20210429,AAPL,2021-04-29,0.8605527342608612,133.5800018310547,131.4600067138672,2021-04-28,2021-04-30,-0.015870602546246136,0,-0.00048055637619638636,-0.01539004617004975,0.19496704803741505
AAPL_2021_Q3_20210728,AAPL,2021-07-28,0.8210199400284461,146.77000427246094,145.63999938964844,2021-07-27,2021-07-29,-0.007699154118131531,0,0.004019107651380767,-0.011718261769512298,0.18324878626790275
AAPL_2021_Q4_20211028,AAPL,2021-10-28,0.8147484157663297,148.85000610351562,149.8000030517578,2021-10-27,2021-10-29,0.006382243260249016,1,0.011797776855451622,-0.005415533595202606,0.17783325267270014
AAPL_2022_Q1_20220127,AAPL,2022-01-27,0.842743575554691,159.69000244140625,170.3300018310547,2022-01-26,2022-01-28,0.06662908902861646,1,0.018832468238478596,0.04779662079013786,0.225629873462838
AAPL_2022_Q2_20220428,AAPL,2022-04-28,0.7236248021110734,156.57000732421875,157.64999389648438,2022-04-27,2022-04-29,0.006897787071244323,1,-0.012435536105032823,0.019333323176277145,0.24496319663911514
AAPL_2022_Q3_20220728,AAPL,2022-07-28,0.5613873566454667,156.7899932861328,162.50999450683594,2022-07-27,2022-07-29,0.036481927837476516,1,0.026513486344972942,0.009968441492503574,0.25493163813161873
AAPL_2022_Q4_20221027,AAPL,2022-10-27,0.8367969554008737,149.35000610351562,155.74000549316406,2022-10-26,2022-10-28,0.04278539757955872,1,0.018393974610038485,0.024391422969520238,0.27932306110113897
AAPL_2023_Q1_20230202,AAPL,2023-02-02,0.6229577645525278,145.42999267578125,154.5,2023-02-01,2023-02-03,0.06236682789663096,1,0.004192556265648444,0.058174271630982516,0.33749733273212146
AAPL_2023_Q2_20230504,AAPL,2023-05-04,0.7993230723805316,167.4499969482422,173.57000732421875,2023-05-03,2023-05-05,0.03654828598096793,1,0.011122654769907718,0.025425631211060215,0.3629229639431817
AAPL_2023_Q3_20230804,AAPL,2023-08-04,0.8432026249885847,191.1699981689453,178.85000610351562,2023-08-03,2023-08-07,-0.06444521725915366,0,0.0036761902633995636,-0.06812140752255322,0.29480155642062844
AAPL_2023_Q4_20231104,AAPL,2023-11-04,0.7820751724955913,176.64999389648438,179.22999572753906,2023-11-03,2023-11-06,0.014605162299448195,1,0.0017529924220356984,0.012852169877412497,0.30765372629804094
AAPL_2024_Q1_20240201,AAPL,2024-02-01,0.7594941102609345,184.39999389648438,185.85000610351562,2024-01-31,2024-02-02,0.007863407022915823,1,0.023311622427130647,-0.015448215404214824,0.2922055108938261
AAPL_2024_Q2_20240502,AAPL,2024-05-02,0.7608310473537233,169.3000030517578,183.3800048828125,2024-05-01,2024-05-03,0.08316598687095238,1,0.021799800207498533,0.061366186663453844,0.35357169755727996
AAPL_2024_Q3_20240802,AAPL,2024-08-02,0.8785314956689583,218.36000061035156,209.27000427246094,2024-08-01,2024-08-05,-0.04162848650156903,0,-0.04779977697495455,0.006171290473385521,0.3597429880306655
AAPL_2024_Q4_20241101,AAPL,2024-11-01,0.9034585818310464,225.91000366210938,222.00999450683594,2024-10-31,2024-11-04,-0.017263552264408042,0,0.001268917586853716,-0.01853246985126176,0.34121051817940373
AAPL_2025_Q1_20250130,AAPL,2025-01-30,0.884562515546037,239.36000061035156,236.0,2025-01-29,2025-01-31,-0.014037435669217044,0,0.00020196455400801406,-0.014239400223225058,0.32697111795617867
AAPL_2025_Q2_20250501,AAPL,2025-05-01,0.8188879153783095,212.5,205.35000610351562,2025-04-30,2025-05-02,-0.03364703010110294,0,0.02111844046281444,-0.05476547056391738,0.2722056473922613
COIN_2021_Q3_20211109,COIN,2021-11-09,0.8127638242566608,353.9200134277344,328.6000061035156,2021-11-08,2021-11-10,-0.07154160930034195,0,-0.011695818978382363,-0.05984579032195959,0.2123598570703017
COIN_2021_Q4_20220224,COIN,2022-02-24,0.7259824218138303,172.74000549316406,176.8300018310547,2022-02-23,2022-02-25,0.023677180779367757,1,0.037664158642468346,-0.013986977863100589,0.1983728792072011
COIN_2022_Q1_20220510,COIN,2022-05-10,0.6522129369325891,83.51000213623047,53.720001220703125,2022-05-09,2022-05-11,-0.3567237474971046,0,-0.01404577492982526,-0.34267797256727933,-0.14430509336007824
COIN_2022_Q2_20220809,COIN,2022-08-09,0.4785177616221799,98.0199966430664,94.13999938964844,2022-08-08,2022-08-10,-0.03958373175166219,0,0.01695148736684946,-0.05653521911851165,-0.20084031247858988
COIN_2022_Q3_20221027,COIN,2022-10-27,0.5967115529041074,73.80999755859375,72.06999969482422,2022-10-26,2022-10-28,-0.023574013295261816,0,0.018393974610038485,-0.041967987905300305,-0.24280830038389017
COIN_2022_Q4_20230221,COIN,2023-02-21,0.5712666083584567,65.19999694824219,61.18000030517578,2023-02-17,2023-02-22,-0.06165639311697524,0,-0.021583254393880567,-0.040073138723094676,-0.2828814391069848
COIN_2023_Q1_20230427,COIN,2023-04-27,0.7854828335313971,53.88999938964844,53.790000915527344,2023-04-26,2023-04-28,-0.0018556035489638945,0,0.027980835876721923,-0.02983643942568582,-0.31271787853267063
COIN_2023_Q2_20230803,COIN,2023-08-03,0.6503202371243184,90.43000030517578,87.30999755859375,2023-08-02,2023-08-04,-0.03450185487175606,0,-0.007834543545178015,-0.02666731132657805,-0.3393851898592487
COIN_2023_Q3_20231102,COIN,2023-11-02,0.6244417222586672,77.80999755859375,85.80000305175781,2023-11-01,2023-11-03,0.10268610389233464,1,0.02842943947076766,0.07425666442156698,-0.26512852543768173
COIN_2023_Q4_20240215,COIN,2024-02-15,0.8369511600083911,160.3800048828125,180.30999755859375,2024-02-14,2024-02-16,0.1242673155568478,1,0.0009898186455390787,0.12327749691130871,-0.14185102852637302
COIN_2024_Q1_20240503,COIN,2024-05-03,0.9178487345464726,228.85000610351562,226.92999267578125,2024-05-02,2024-05-06,-0.008389833412833277,0,0.023012526078722405,-0.03140235949155568,-0.1732533880179287
COIN_2024_Q2_20240801,COIN,2024-08-01,0.7198034312164838,224.36000061035156,204.44000244140625,2024-07-31,2024-08-02,-0.08878587143320876,0,-0.03182365179532206,-0.0569622196378867,-0.2302156076558154
COIN_2024_Q3_20241030,COIN,2024-10-30,0.7143186151245157,219.66000366210938,179.25,2024-10-29,2024-10-31,-0.18396614307750722,0,-0.02185350189438649,-0.16211264118312074,-0.39232824883893613
MMM_2018_Q4_20190129,MMM,2019-01-29,0.49983955286564236,161.53846740722656,166.61370849609375,2019-01-28,2019-01-30,0.03141815798012296,1,0.014070370784203095,0.01734778719591986,-0.3749804616430163
MMM_2019_Q1_20190425,MMM,2019-04-25,0.050242813974795165,183.17726135253906,160.2592010498047,2019-04-24,2019-04-26,-0.12511411150877927,0,0.0043145897386625675,-0.12942870124744182,-0.5044091628904581
MMM_2019_Q2_20190725,MMM,2019-07-25,0.38936716048623,150.0167236328125,145.46823120117188,2019-07-24,2019-07-26,-0.030319902484830387,0,0.002086412823681016,-0.0324063153085114,-0.5368154781989696
MMM_2019_Q4_20200128,MMM,2020-01-28,0.5925381323307517,146.8478240966797,135.45150756835938,2020-01-27,2020-01-29,-0.07760630161477476,0,0.009177995211166598,-0.08678429682594135,-0.6235997750249109
MMM_2020_Q1_20200428,MMM,2020-04-28,0.4859365077399343,128.4698944091797,130.6521759033203,2020-04-27,2020-04-29,0.01698671509131942,1,0.0212021725740599,-0.004215457482740478,-0.6278152325076514
MMM_2020_Q2_20200728,MMM,2020-07-28,0.44565210540786254,136.48829650878906,130.64381408691406,2020-07-27,2020-07-29,-0.04282039245393211,0,0.005874535737431081,-0.048694928191363195,-0.6765101606990146
MMM_2020_Q3_20201027,MMM,2020-10-27,0.37080535365471146,138.9297637939453,132.5501708984375,2020-10-26,2020-10-28,-0.045919554754082444,0,-0.03820672999926133,-0.007712824754821115,-0.6842229854538358
MMM_2020_Q4_20210126,MMM,2021-01-26,0.7377645317441819,142.466552734375,156.06187438964844,2021-01-25,2021-01-27,0.09542816467681045,1,-0.0271284873465596,0.12255665202337004,-0.5616663334304657
MMM_2021_Q1_20210427,MMM,2021-04-27,0.63128151029935,166.9147186279297,163.82107543945312,2021-04-26,2021-04-28,-0.01853427435223742,0,-0.0010602541018529552,-0.017474020250384463,-0.5791403536808502
MMM_2021_Q2_20210727,MMM,2021-07-27,0.42452905603059377,168.6204071044922,165.78594970703125,2021-07-26,2021-07-28,-0.016809693714619347,0,-0.0048978289409034245,-0.011911864773715922,-0.5910522184545661
MMM_2021_Q3_20211026,MMM,2021-10-26,0.454824275635917,152.50836181640625,149.0301055908203,2021-10-25,2021-10-27,-0.022806987001625246,0,-0.00324096563453691,-0.019566021367088335,-0.6106182398216544
MMM_2021_Q4_20220125,MMM,2022-01-25,0.5081363668543947,144.48159790039062,141.55519104003906,2022-01-24,2022-01-26,-0.020254530008514328,0,-0.013650325190163891,-0.006604204818350437,-0.6172224446400049
MMM_2022_Q1_20220426,MMM,2022-04-26,0.3127449375604636,124.24748992919922,120.57691955566406,2022-04-25,2022-04-27,-0.029542410680704956,0,-0.02610731385309283,-0.0034350968276121267,-0.620657541467617
MMM_2022_Q2_20220726,MMM,2022-07-26,0.47599905578895546,112.14046478271484,116.10367584228516,2022-07-25,2022-07-27,0.035341489508265315,1,0.014311143951718399,0.02103034555654692,-0.59962719591107
MMM_2022_Q3_20221025,MMM,2022-10-25,0.4830683540812788,98.97993469238281,102.59197235107422,2022-10-24,2022-10-26,0.036492625196381114,1,0.008758765081823503,0.027733860114557612,-0.5718933357965125
MMM_2022_Q4_20230124,MMM,2023-01-24,0.18745122972342868,102.52508544921875,94.42308044433594,2023-01-23,2023-01-25,-0.07902461109282158,0,-0.000893098887334224,-0.07813151220548735,-0.6500248480019998
MMM_2023_Q1_20230425,MMM,2023-04-25,0.22166218777789307,87.84281158447266,86.05351257324219,2023-04-24,2023-04-26,-0.02036932765420216,0,-0.019591313611383818,-0.0007780140428183431,-0.6508028620448181
MMM_2023_Q2_20230725,MMM,2023-07-25,0.27120563067098497,87.1822738647461,94.18060302734375,2023-07-24,2023-07-26,0.08027238625887195,1,0.0026587969450368428,0.07761358931383511,-0.573189272730983
MMM_2023_Q3_20231024,MMM,2023-10-24,0.45135187077532013,71.57190704345703,74.74080657958984,2023-10-23,2023-10-25,0.04427574542912095,1,-0.007178025167145294,0.05145377059626625,-0.5217355021347168
MMM_2023_Q4_20241023,MMM,2024-10-23,0.504662854196191,131.72999572753906,126.47000122070312,2024-10-22,2024-10-24,-0.039930119771015064,0,-0.007065273901304637,-0.032864845869710425,-0.5546003480044271
MMM_2024_Q1_20240430,MMM,2024-04-30,0.5792220608771075,92.16000366210938,98.44000244140625,2024-04-29,2024-05-01,0.06814234515790098,1,-0.01911191118539221,0.08725425634329319,-0.46734609166113394
MMM_2024_Q2_20240726,MMM,2024-07-26,0.600565868129478,103.38999938964844,125.16000366210938,2024-07-25,2024-07-29,0.21056199246520726,1,0.011912798822674318,0.19864919364253295,-0.26869689801860097
MMM_2024_Q3_20241022,MMM,2024-10-22,0.752967639710361,134.83999633789062,127.91000366210938,2024-10-21,2024-10-23,-0.05139419210911007,0,-0.009661812780784575,-0.0417323793283255,-0.3104292773469265
MMM_2024_Q4_20250121,MMM,2025-01-21,0.7636547885150309,141.02999877929688,149.1199951171875,2025-01-17,2025-01-22,0.05736365601584499,1,0.014959987493038117,0.04240366852280687,-0.26802560882411963
MMM_2025_Q1_20250422,MMM,2025-04-22,0.7190178062391172,126.08999633789062,136.05999755859375,2025-04-21,2025-04-23,0.07907051717240073,1,0.042196824420763585,0.03687369275163714,-0.23115191607248248
NFLX_2018_Q4_20190117,NFLX,2019-01-17,1.0,351.3900146484375,339.1000061035156,2019-01-16,2019-01-18,-0.03497540633651163,0,0.02087453126513572,-0.05584993760164735,-0.28700185367412984
NFLX_2019_Q1_20190416,NFLX,2019-04-16,1.0,348.8699951171875,354.739990234375,2019-04-15,2019-04-17,0.016825737952086518,1,-0.0017656119656614395,0.018591349917747958,-0.26841050375638187
NFLX_2019_Q2_20190717,NFLX,2019-07-17,0.9487451011037098,365.989990234375,325.2099914550781,2019-07-16,2019-07-18,-0.11142380903144898,0,-0.002972640685379097,-0.10845116834606988,-0.37686167210245175
NFLX_2019_Q3_20191016,NFLX,2019-10-16,0.8482609754763494,284.25,293.3500061035156,2019-10-15,2019-10-17,0.0320140935919635,1,0.000757764375050172,0.03125632921691333,-0.3456053428855384
NFLX_2019_Q4_20200121,NFLX,2020-01-21,0.915356433317091,339.6700134277344,326.0,2020-01-17,2020-01-22,-0.040244981562503175,0,-0.0023636681995265626,-0.037881313362976614,-0.383486656248515
NFLX_2020_Q1_20200421,NFLX,2020-04-21,0.7792243475786883,437.489990234375,421.4200134277344,2020-04-20,2020-04-22,-0.03673221597145917,0,-0.00844792865374925,-0.02828428731770992,-0.41177094356622496
NFLX_2020_Q2_20200716,NFLX,2020-07-16,0.8946688534963769,523.260009765625,492.989990234375,2020-07-15,2020-07-17,-0.05784890678882251,0,-0.0005671917124634628,-0.05728171507635905,-0.469052658642584
NFLX_2020_Q3_20201020,NFLX,2020-10-20,0.8823278263749365,530.719970703125,489.04998779296875,2020-10-19,2020-10-21,-0.0785159504266435,0,0.0025212543379253076,-0.08103720476456881,-0.5500898634071528
NFLX_2020_Q4_20210119,NFLX,2021-01-19,0.912820114969804,497.9800109863281,586.3400268554688,2021-01-15,2021-01-20,0.1774368728056567,1,0.022185390474689842,0.15525148233096686,-0.39483838107618596
NFLX_2021_Q1_20210420,NFLX,2021-04-20,0.742924772408199,554.4400024414062,508.8999938964844,2021-04-19,2021-04-21,-0.08213694600748904,0,0.002440432935242207,-0.08457737894273125,-0.4794157600189172
NFLX_2021_Q2_20210720,NFLX,2021-07-20,0.8651319131355723,532.280029296875,513.6300048828125,2021-07-19,2021-07-21,-0.03503799388960467,0,0.023529396926269076,-0.05856739081587375,-0.537983150834791
